epoch,train_loss,val_loss,train_acc,val_acc
0,0.22085215628797572,0.012265990986634279,0.9275,0.996
1,0.013281216432843062,0.00892827689222031,0.9975,0.998
2,0.0078103645632620015,0.011282240096988971,0.998,0.996
3,0.008789843068197592,0.011486700438581465,0.997,0.996
4,0.0037010036963721856,0.012348011091148692,0.9995,0.996
5,0.003343059383041691,0.011892288759639769,0.999,0.997
6,0.0031997757592646865,0.011662872871568197,1.0,0.998
7,0.0022135835889558722,0.016918837313170343,1.0,0.996
8,0.001819735219676601,0.016770939152848996,1.0,0.996
9,0.0024131361624890745,0.014048397228634713,0.9995,0.996
