epoch,train_loss,val_loss,train_acc,val_acc
0,0.29357658030967865,0.07898217270849273,0.913,0.981
1,0.05180540698624793,0.04418419765715953,0.991,0.984
2,0.028566023519647026,0.04433848693588516,0.9945,0.986
3,0.016128422090015006,0.03731471968785627,0.9965,0.988
4,0.006167583332012688,0.03922417935245903,0.9995,0.987
5,0.003409914992054895,0.03605303643826119,1.0,0.988
6,0.005384756367199034,0.034060644669807516,1.0,0.989
7,0.010402539501055366,0.03860103943134163,0.9975,0.99
8,0.012463714813329427,0.054831003028084524,0.995,0.983
9,0.006472229605562808,0.042002178272014135,0.999,0.984
