epoch,train_loss,val_loss,train_acc,val_acc
0,0.5109682854205843,0.32298765517771244,0.8065,0.961
1,0.2914535869208593,0.2016619760543108,0.9395,0.971
2,0.2020277880013935,0.14692319370806217,0.952,0.976
3,0.1647856059292006,0.12441854411736131,0.9515,0.978
4,0.1398159610846686,0.10508137557189912,0.9575,0.98
5,0.12053639843823417,0.09466910921037197,0.9625,0.982
6,0.10921360759271516,0.09131220780545846,0.967,0.979
7,0.09538023895214474,0.08110107446555048,0.973,0.982
8,0.09203974160528372,0.08213012115447782,0.973,0.98
9,0.08491078302973792,0.0869858450605534,0.9755,0.977
