epoch,train_loss,val_loss,train_acc,val_acc
0,0.13381743759271644,0.06074019305378897,0.9385,0.971
1,0.01864160789871618,0.044650751438894076,0.996,0.982
2,0.007396209916646873,0.0444770826252352,0.999,0.986
3,0.00393869362758576,0.04730980137173901,0.9995,0.98
4,0.0036233441351214424,0.044776536899007624,0.9995,0.986
5,0.003749260490174435,0.07479847525246441,0.9985,0.972
6,0.0035807666794252803,0.053666195669848094,0.999,0.981
7,0.007929257373371723,0.06347456637922733,0.998,0.973
8,0.0068383759407590824,0.11119842595144291,0.998,0.972
9,0.008134630951976833,0.06932326213063789,0.998,0.978
