epoch,train_loss,val_loss,train_acc,val_acc
0,0.6787858141793145,0.531282608397305,0.5925,0.785
1,0.47268010510338676,0.37296098936349154,0.8275,0.907
2,0.35873812153225854,0.2923750323243439,0.9065,0.936
3,0.2939976891354909,0.24388925358653069,0.922,0.947
4,0.25571154956779785,0.21152574941515923,0.933,0.953
5,0.22524273064401415,0.1864319471642375,0.94,0.959
6,0.20704549243525852,0.16726932651363313,0.945,0.961
7,0.1925528012807407,0.15499879070557654,0.9475,0.964
8,0.18354327527303543,0.14422723138704896,0.947,0.962
9,0.1653848804888271,0.13791420334018767,0.953,0.966
