image,group,strategy,soft_support_coverage,crop_width,crop_height
1.jpg,1,tight_0px,0.8333,21,9
1.jpg,1,fixed_2px,1.0000,25,13
1.jpg,1,fixed_4px,1.0000,29,17
1.jpg,1,adaptive,1.0000,29,17
1.jpg,2,tight_0px,0.5797,8,6
1.jpg,2,fixed_2px,0.9565,12,10
1.jpg,2,fixed_4px,1.0000,16,14
1.jpg,2,adaptive,1.0000,16,14
1.jpg,3,tight_0px,0.9317,129,19
1.jpg,3,fixed_2px,0.9910,133,23
1.jpg,3,fixed_4px,1.0000,137,27
1.jpg,3,adaptive,1.0000,143,27
2.png,1,tight_0px,0.8806,33,12
2.png,1,fixed_2px,0.9664,37,16
2.png,1,fixed_4px,1.0000,41,20
2.png,1,adaptive,1.0000,41,20
2.png,2,tight_0px,0.7923,11,10
2.png,2,fixed_2px,1.0000,15,14
2.png,2,fixed_4px,1.0000,19,18
2.png,2,adaptive,1.0000,19,18
2.png,3,tight_0px,0.9393,142,27
2.png,3,fixed_2px,0.9981,146,31
2.png,3,fixed_4px,1.0000,150,35
2.png,3,adaptive,1.0000,160,37
