id,x,y,width,height,filename
0,0,0,153,131,region_000000.jpg
1,19,0,238,142,region_000001.jpg
2,0,0,1156,531,region_000002.jpg
3,540,0,91,19,region_000003.jpg
4,691,0,41,18,region_000004.jpg
5,1150,0,13,63,region_000005.jpg
6,742,0,1305,915,region_000006.jpg
7,434,29,66,10,region_000007.jpg
8,0,32,137,117,region_000008.jpg
9,1698,45,39,147,region_000009.jpg
10,885,57,309,147,region_000010.jpg
11,815,59,118,228,region_000011.jpg
12,822,66,222,252,region_000012.jpg
13,956,67,241,341,region_000013.jpg
14,1048,79,101,171,region_000014.jpg
15,0,88,239,148,region_000015.jpg
16,1839,99,119,84,region_000016.jpg
17,1197,105,4,72,region_000017.jpg
18,1054,119,38,57,region_000018.jpg
19,1540,130,507,299,region_000019.jpg
20,1703,144,344,447,region_000020.jpg
21,1104,168,20,66,region_000021.jpg
22,1152,196,39,46,region_000022.jpg
23,1603,196,29,27,region_000023.jpg
24,1688,203,67,41,region_000024.jpg
25,1045,208,52,69,region_000025.jpg
26,926,221,42,49,region_000026.jpg
27,0,230,335,189,region_000027.jpg
28,839,256,49,104,region_000028.jpg
29,0,264,807,913,region_000029.jpg
30,728,278,166,259,region_000030.jpg
31,297,281,375,143,region_000031.jpg
32,303,287,228,182,region_000032.jpg
33,475,299,169,244,region_000033.jpg
34,607,302,57,165,region_000034.jpg
35,906,303,199,140,region_000035.jpg
36,378,308,107,28,region_000036.jpg
37,934,311,59,39,region_000037.jpg
38,1002,313,71,77,region_000038.jpg
39,299,318,46,157,region_000039.jpg
40,365,347,21,33,region_000040.jpg
41,364,371,21,70,region_000041.jpg
42,1121,372,64,35,region_000042.jpg
43,991,379,38,31,region_000043.jpg
44,1125,379,263,304,region_000044.jpg
45,1629,379,79,86,region_000045.jpg
46,1567,379,158,216,region_000046.jpg
47,584,380,21,61,region_000047.jpg
48,1684,381,62,112,region_000048.jpg
49,1363,386,563,393,region_000049.jpg
50,1126,388,42,90,region_000050.jpg
51,1491,395,183,157,region_000051.jpg
52,1360,396,75,57,region_000052.jpg
53,1369,399,105,62,region_000053.jpg
54,1359,405,20,105,region_000054.jpg
