epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5654,2.20534,2.59066,1.11771,0.46644,0.32069,0.32642,0.17407,2.37299,2.37307,1.01636,0.000475424,0.000475424,0.000475424
2,148.49,2.04443,1.69046,1.04137,0.63679,0.32275,0.36205,0.19027,2.28391,1.71086,1.00729,0.00092035,0.00092035,0.00092035
3,214.749,1.96761,1.49811,1.03222,0.4477,0.38677,0.37409,0.20151,2.21377,1.66555,0.9803,0.00133384,0.00133384,0.00133384
4,291.554,1.98059,1.43091,1.016,0.44636,0.38928,0.38618,0.21011,2.18169,1.55939,0.96839,0.00128753,0.00128753,0.00128753
5,355.028,1.93026,1.32465,1.00919,0.47042,0.37203,0.37463,0.20621,2.20212,1.54662,0.97418,0.00124037,0.00124037,0.00124037
6,425.281,1.87522,1.24559,1.01342,0.44573,0.41211,0.38759,0.21584,2.12964,1.49113,0.96656,0.00119322,0.00119322,0.00119322
7,482.269,1.90624,1.25146,1.00373,0.46546,0.41028,0.38299,0.2159,2.22066,1.43658,0.96064,0.00114606,0.00114606,0.00114606
8,547.634,1.85604,1.1721,0.99196,0.47953,0.44273,0.4008,0.22403,2.09427,1.44749,0.95407,0.0010989,0.0010989,0.0010989
9,614.376,1.80769,1.13587,0.98822,0.47492,0.43366,0.40173,0.22735,2.10412,1.42121,0.95682,0.00105174,0.00105174,0.00105174
10,693.322,1.8091,1.11787,0.97949,0.4682,0.42831,0.4096,0.2248,2.10577,1.54302,0.9445,0.00100459,0.00100459,0.00100459
11,760.575,1.78278,1.11391,0.97892,0.49905,0.45532,0.41666,0.23497,2.07277,1.45313,0.94939,0.00095743,0.00095743,0.00095743
12,834.623,1.81143,1.08994,0.96989,0.47473,0.44011,0.41833,0.23532,2.04479,1.30152,0.94426,0.000910273,0.000910273,0.000910273
13,898.776,1.75341,1.06052,0.9765,0.4689,0.44876,0.40355,0.22728,2.06222,1.42594,0.94898,0.000863116,0.000863116,0.000863116
14,957.505,1.76842,1.05545,0.96862,0.4963,0.45278,0.4222,0.23844,2.01997,1.29525,0.9428,0.000815959,0.000815959,0.000815959
15,1033.82,1.73182,1.03721,0.97668,0.51996,0.45488,0.42344,0.24157,2.04359,1.28468,0.94568,0.000768802,0.000768802,0.000768802
16,1170.31,1.73466,1.03353,0.95956,0.49619,0.44494,0.42873,0.2414,2.00463,1.26505,0.94186,0.000721645,0.000721645,0.000721645
17,1318.22,1.73646,1.01851,0.96788,0.52791,0.47414,0.44012,0.24905,1.992,1.27161,0.9365,0.000674488,0.000674488,0.000674488
18,1468.68,1.71791,0.99125,0.96628,0.48843,0.45024,0.41816,0.24125,2.04016,1.30154,0.93715,0.000627331,0.000627331,0.000627331
19,1628.41,1.70859,0.99375,0.96114,0.50839,0.4859,0.44119,0.25543,1.99345,1.22564,0.93233,0.000580174,0.000580174,0.000580174
20,1737.88,1.70681,0.98543,0.95574,0.53299,0.4778,0.45277,0.25658,2.00052,1.21646,0.93175,0.000533017,0.000533017,0.000533017
21,1822.31,1.82712,1.20482,0.94996,0.50154,0.47624,0.44278,0.25443,1.95385,1.24295,0.93227,0.00048586,0.00048586,0.00048586
22,1910.35,1.85439,1.19553,0.94664,0.51797,0.46115,0.42105,0.24356,2.01607,1.23361,0.92402,0.000438703,0.000438703,0.000438703
23,2020.1,1.83234,1.16969,0.94593,0.52505,0.4846,0.45455,0.25697,1.94511,1.20773,0.92474,0.000391546,0.000391546,0.000391546
24,2141.59,1.79736,1.12442,0.94384,0.54287,0.46828,0.45325,0.25827,1.93761,1.20997,0.92964,0.000344389,0.000344389,0.000344389
25,2217.2,1.78462,1.11667,0.93707,0.55659,0.4794,0.4612,0.26017,1.94825,1.1822,0.92193,0.000297232,0.000297232,0.000297232
26,2292.68,1.80355,1.10088,0.93776,0.55758,0.49338,0.46827,0.26518,1.93076,1.19957,0.92114,0.000250075,0.000250075,0.000250075
27,2363.54,1.76,1.06344,0.94171,0.5552,0.47925,0.45767,0.26022,1.95497,1.19191,0.92679,0.000202918,0.000202918,0.000202918
28,2453.79,1.76119,1.0828,0.93554,0.55782,0.4803,0.46439,0.26107,1.97031,1.18187,0.92719,0.000155761,0.000155761,0.000155761
29,2573.79,1.74169,1.03505,0.9349,0.55994,0.50114,0.47744,0.27065,1.89967,1.17083,0.9223,0.000108604,0.000108604,0.000108604
30,2643.13,1.69469,1.01573,0.93231,0.56238,0.49941,0.47846,0.27197,1.93139,1.14856,0.92346,6.1447e-05,6.1447e-05,6.1447e-05
