epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1596,1.02748,3.01946,1.20549,0.0042,0.9907,0.81231,0.58671,0.85754,2.95165,1.02508,0.00042,0.00042,0.00042
2,578.705,0.93379,1.91647,1.05286,1,0.10834,0.70255,0.46331,1.03945,2.96882,1.16234,0.00077486,0.00077486,0.00077486
3,583.755,0.96909,1.81463,1.06168,0.77973,0.46103,0.63352,0.37869,1.26599,2.70973,1.33863,0.0010426,0.0010426,0.0010426
4,588.736,0.9263,1.59418,1.07127,0.90332,0.66047,0.82643,0.59917,1.01542,2.32186,1.2352,0.00122322,0.00122322,0.00122322
5,593.43,0.90539,1.46904,1.04186,0.92109,0.81436,0.92168,0.66982,0.98608,1.90825,1.14769,0.001208,0.001208,0.001208
6,598.063,0.86299,1.33407,0.98655,0.94191,0.91163,0.95764,0.71273,0.90044,1.1845,1.1183,0.00101,0.00101,0.00101
7,602.575,0.81074,1.17939,0.99458,0.98029,0.92552,0.9614,0.73796,0.8198,0.99751,1.00908,0.000812,0.000812,0.000812
8,607.326,0.76372,1.09175,0.946,0.9836,0.94419,0.96864,0.77055,0.7415,0.83165,0.98384,0.000614,0.000614,0.000614
9,611.756,0.71377,0.999,0.93829,0.95558,0.94419,0.97497,0.79067,0.70812,0.74685,0.97371,0.000416,0.000416,0.000416
10,616.254,0.70956,0.97013,0.95178,0.97174,0.9595,0.98015,0.8154,0.67502,0.69487,0.96174,0.000218,0.000218,0.000218
